GEOID,pop,white,poc,poc_proportion
360670043022,5557,3897,1660,0.29872233219362965
360670104001,1847,1843,4,0.002165674066053059
360670054002,566,81,485,0.8568904593639576
360670126004,1751,1688,63,0.03597944031981725
360670144003,968,742,226,0.2334710743801653
360670051002,796,151,645,0.8103015075376885
360670112421,746,744,2,0.002680965147453083
360670030001,1056,634,422,0.3996212121212121
360670103013,1818,1729,89,0.048954895489548955
360670040001,1398,429,969,0.6931330472103004
360670147002,1352,1106,246,0.1819526627218935
360670102003,1012,980,32,0.03162055335968379
360670144001,752,735,17,0.022606382978723406
360670036012,1447,298,1149,0.7940566689702834
360670113001,848,801,47,0.055424528301886794
360670116001,1953,1878,75,0.03840245775729647
360670162002,1669,1043,626,0.3750748951467945
360670043023,927,642,285,0.3074433656957929
360670043011,1563,750,813,0.5201535508637236
360670021012,593,471,122,0.2057335581787521
360670137014,1088,980,108,0.09926470588235294
360670005012,1123,377,746,0.6642920747996438
360670156011,1473,1360,113,0.07671418873048201
360670116002,1449,1410,39,0.026915113871635612
360670127001,602,598,4,0.006644518272425249
360670135001,1967,1865,102,0.05185561769191662
360670112312,1862,1596,266,0.14285714285714285
360670164001,1116,1034,82,0.07347670250896057
360670009001,786,669,117,0.14885496183206107
360670020002,1137,1010,127,0.11169744942832015
360670030002,785,337,448,0.5707006369426751
360670032002,1927,1013,914,0.47431240269849506
360670004001,1428,1308,120,0.08403361344537816
360670007001,786,420,366,0.46564885496183206
360670010004,694,340,354,0.5100864553314121
360670115004,329,329,0,0.0
360670112014,990,934,56,0.05656565656565657
360670113003,1571,1492,79,0.05028644175684278
360670114012,2231,2108,123,0.055132227700582695
360670142001,904,660,244,0.26991150442477874
360670144002,556,372,184,0.33093525179856115
360670145002,1540,1474,66,0.04285714285714286
360670052002,750,98,652,0.8693333333333333
360670061032,764,512,252,0.3298429319371728
360670102002,1473,1417,56,0.03801765105227427
360670120001,1264,1256,8,0.006329113924050633
360670120004,1854,1729,125,0.0674217907227616
360670132001,1242,1167,75,0.06038647342995169
360670132002,1439,1411,28,0.019457956914523976
360670107002,1112,1016,96,0.08633093525179857
360670112011,698,683,15,0.02148997134670487
360670112013,1190,1105,85,0.07142857142857142
360670056021,3878,2343,1535,0.3958225889633832
360670046004,812,482,330,0.4064039408866995
360670052003,1016,179,837,0.8238188976377953
360670052001,388,99,289,0.7448453608247423
360670152012,1467,1202,265,0.18064076346284935
360670152011,1550,1444,106,0.06838709677419355
360670168012,940,924,16,0.01702127659574468
360670014002,1095,240,855,0.7808219178082192
360670118005,1622,1570,52,0.032059186189889025
360670045004,765,672,93,0.12156862745098039
360670045001,644,498,146,0.2267080745341615
360670045003,1098,977,121,0.11020036429872496
360670110222,1372,1312,60,0.043731778425655975
360670061031,1818,1574,244,0.1342134213421342
360670102001,3133,3028,105,0.033514203638684965
360670139001,1473,1373,100,0.06788866259334692
360670146001,2688,1536,1152,0.42857142857142855
360670146004,928,773,155,0.16702586206896552
360670146002,594,524,70,0.11784511784511785
360670158002,644,642,2,0.003105590062111801
360670146003,595,412,183,0.30756302521008405
360670155002,1310,1293,17,0.012977099236641221
360670155001,1508,1467,41,0.027188328912466843
360670158003,941,905,36,0.03825717321997875
360670158001,2182,1895,287,0.13153070577451878
360670160011,1490,1447,43,0.028859060402684565
360670160012,978,953,25,0.02556237218813906
360670161001,2653,2184,469,0.17678100263852242
360670164002,1366,1308,58,0.0424597364568082
360670164003,1635,1527,108,0.06605504587155964
360670165011,1726,1677,49,0.028389339513325607
360670009002,989,901,88,0.08897876643073811
360670009003,1353,1128,225,0.1662971175166297
360670020001,670,475,195,0.291044776119403
360670032001,1238,748,490,0.39579967689822293
360670044002,1358,1095,263,0.19366715758468336
360670044001,517,398,119,0.23017408123791103
360670004002,1455,655,800,0.5498281786941581
360670004003,1179,924,255,0.21628498727735368
360670007002,693,254,439,0.6334776334776335
360670010001,646,544,102,0.15789473684210525
360670010002,1238,699,539,0.43537964458804523
360670154004,1748,1405,343,0.19622425629290619
360679400001,134,13,121,0.9029850746268657
360670163007,1115,1092,23,0.02062780269058296
360670158004,1102,744,358,0.3248638838475499
360670043021,447,295,152,0.3400447427293065
360670021013,1539,1229,310,0.2014294996751137
360670021011,383,142,241,0.6292428198433421
360670137012,1956,1475,481,0.24591002044989774
360670137013,864,776,88,0.10185185185185185
360670137011,826,748,78,0.09443099273607748
360670160022,1380,1358,22,0.015942028985507246
360670130003,536,536,0,0.0
360670157002,1822,1781,41,0.022502744237102086
360670130005,682,489,193,0.2829912023460411
360670130001,870,838,32,0.0367816091954023
360670157003,1524,1425,99,0.06496062992125984
360670157001,1539,1287,252,0.16374269005847952
360670128002,897,848,49,0.054626532887402456
360670163002,1001,954,47,0.04695304695304695
360670163005,1170,1161,9,0.007692307692307693
360670163006,1103,979,124,0.11242067089755213
360670163001,1030,970,60,0.05825242718446602
360670051001,771,193,578,0.7496757457846952
360670024001,1091,587,504,0.461961503208066
360670019005,674,590,84,0.12462908011869436
360670019002,608,521,87,0.14309210526315788
360670019003,1101,838,263,0.23887375113533152
360670019001,694,426,268,0.3861671469740634
360670023001,778,294,484,0.622107969151671
360670042001,902,146,756,0.8381374722838137
360670049002,533,402,131,0.24577861163227016
360670049001,725,324,401,0.5531034482758621
360670061011,1681,970,711,0.4229625223081499
360670061012,802,285,517,0.6446384039900249
360670005011,1483,639,844,0.5691166554281861
360670029011,1617,1458,159,0.09833024118738404
360670029012,1267,1060,207,0.1633780584056827
360670156012,903,890,13,0.014396456256921373
360670123001,2164,1987,177,0.08179297597042513
360670124004,800,760,40,0.05
360670111023,962,777,185,0.19230769230769232
360670112412,1452,1395,57,0.03925619834710744
360670027003,613,558,55,0.08972267536704731
360670027001,539,403,136,0.2523191094619666
360670036011,1053,198,855,0.811965811965812
360670110212,1091,1062,29,0.026581118240146653
360670054001,598,137,461,0.7709030100334449
360670060004,932,416,516,0.5536480686695279
360670060001,538,416,122,0.22676579925650558
360670060002,777,694,83,0.10682110682110682
360670111013,1205,1157,48,0.03983402489626556
360670106002,1223,1109,114,0.09321340964840556
360670111012,1121,1005,116,0.10347903657448707
360670111011,1174,1053,121,0.1030664395229983
360670111015,1865,1650,215,0.11528150134048257
360670111022,1621,1251,370,0.2282541640962369
360670112321,2804,2629,175,0.062410841654778886
360670112322,1219,1144,75,0.06152584085315833
360670115001,1822,1733,89,0.04884742041712404
360670115003,1828,1793,35,0.019146608315098467
360670115002,2181,2088,93,0.04264099037138927
360670002002,1559,874,685,0.4393842206542656
360670002001,1867,1111,756,0.40492769148366364
360670046001,1203,862,341,0.28345802161263506
360670046002,959,909,50,0.05213764337851929
360670046003,975,878,97,0.09948717948717949
360670046005,658,411,247,0.37537993920972645
360670103212,1557,1490,67,0.04303147077713552
360670119004,660,654,6,0.00909090909090909
360670119002,929,856,73,0.07857911733046287
360670119003,807,796,11,0.013630731102850062
360670126002,1542,1542,0,0.0
360670126003,1149,948,201,0.17493472584856398
360670134002,1707,1492,215,0.1259519625073228
360670134001,1198,1166,32,0.02671118530884808
360670156013,1119,1067,52,0.04647006255585344
360670103015,1546,1367,179,0.11578266494178525
360670166003,2162,2097,65,0.030064754856614247
360670166001,1169,1146,23,0.019674935842600515
360670124002,956,908,48,0.0502092050209205
360670124003,1052,977,75,0.07129277566539924
360670138001,1267,1166,101,0.07971586424625099
360670116003,1862,1778,84,0.045112781954887216
360670122001,1155,1035,120,0.1038961038961039
360670127002,1417,1277,140,0.09880028228652082
360670135003,1108,1074,34,0.030685920577617327
360670135002,2402,1994,408,0.16985845129059118
360670150002,1109,1053,56,0.05049594229035167
360670150001,874,768,106,0.12128146453089245
360670136001,941,713,228,0.24229543039319873
