GEOID,pop_25,bachelors,below_hs,hs_or_ged,some_college,advanced_deg,no_college,college,no_college_prop
360670043022,26,1,0,0,17,8,0,26,0.0
360670104001,1424,94,122,581,535,92,703,721,0.4936797752808989
360670054002,339,44,90,124,69,12,214,125,0.6312684365781711
360670126004,1331,428,18,436,278,171,454,877,0.3410969196093163
360670144003,727,53,81,282,279,32,363,364,0.49931224209078406
360670051002,498,34,134,163,143,24,297,201,0.5963855421686747
360670112421,520,85,30,179,147,79,209,311,0.40192307692307694
360670030001,580,77,145,226,132,0,371,209,0.6396551724137931
360670103013,1357,312,38,325,590,92,363,994,0.2675018422991894
360670040001,839,30,323,303,175,8,626,213,0.7461263408820024
360670147002,928,431,27,101,100,269,128,800,0.13793103448275862
360670102003,816,143,49,237,267,120,286,530,0.35049019607843135
360670144001,642,35,79,171,286,71,250,392,0.3894080996884735
360670036012,864,85,182,233,293,71,415,449,0.48032407407407407
360670113001,694,100,26,248,262,58,274,420,0.39481268011527376
360670116001,1471,295,116,510,417,133,626,845,0.42556084296397007
360670162002,1103,103,174,230,504,92,404,699,0.36627379873073435
360670043023,422,69,106,98,111,38,204,218,0.4834123222748815
360670043011,519,58,173,177,71,40,350,169,0.674373795761079
360670021012,512,115,81,109,146,61,190,322,0.37109375
360670137014,753,48,161,295,211,38,456,297,0.6055776892430279
360670005012,622,45,303,185,52,37,488,134,0.7845659163987139
360670156011,991,187,56,165,253,330,221,770,0.22300706357214933
360670116002,1085,224,52,159,479,171,211,874,0.19447004608294932
360670127001,468,88,37,161,160,22,198,270,0.4230769230769231
360670135001,1489,305,140,380,439,225,520,969,0.34922766957689727
360670112312,1334,213,81,351,517,172,432,902,0.3238380809595202
360670164001,884,239,38,188,362,57,226,658,0.25565610859728505
360670009001,653,217,56,124,146,110,180,473,0.27565084226646247
360670020002,775,64,89,267,313,42,356,419,0.4593548387096774
360670030002,456,44,209,114,63,26,323,133,0.7083333333333334
360670032002,1193,298,184,271,158,282,455,738,0.38139145012573344
360670004001,1233,153,213,423,375,69,636,597,0.5158150851581509
360670007001,437,43,117,114,146,17,231,206,0.528604118993135
360670010004,494,50,122,92,216,14,214,280,0.4331983805668016
360670115004,315,76,34,85,71,49,119,196,0.37777777777777777
360670112014,706,142,30,153,298,83,183,523,0.25920679886685555
360670113003,1356,245,117,380,462,152,497,859,0.3665191740412979
360670114012,1638,344,59,470,454,311,529,1109,0.322954822954823
360670142001,622,119,16,235,240,12,251,371,0.40353697749196143
360670144002,362,26,131,128,54,23,259,103,0.7154696132596685
360670145002,1234,248,88,473,311,114,561,673,0.4546191247974068
360670052002,519,6,95,205,188,25,300,219,0.5780346820809249
360670061032,541,62,85,147,224,23,232,309,0.4288354898336414
360670102002,986,361,13,140,301,171,153,833,0.15517241379310345
360670120001,982,122,92,525,161,82,617,365,0.6283095723014257
360670120004,1247,213,115,301,528,90,416,831,0.33360064153969526
360670132001,992,131,117,367,252,125,484,508,0.4879032258064516
360670132002,1078,285,14,179,362,238,193,885,0.1790352504638219
360670107002,896,125,108,314,296,53,422,474,0.47098214285714285
360670112011,288,16,79,109,84,0,188,100,0.6527777777777778
360670112013,887,159,29,278,286,135,307,580,0.3461104847801578
360670056021,104,45,0,0,28,31,0,104,0.0
360670046004,679,171,0,116,163,229,116,563,0.17083946980854198
360670052003,548,22,203,208,107,8,411,137,0.75
360670052001,307,14,102,96,95,0,198,109,0.6449511400651465
360670152012,1123,203,106,279,319,216,385,738,0.3428317008014248
360670152011,1199,450,9,158,171,411,167,1032,0.13928273561301086
360670168012,726,182,18,118,194,214,136,590,0.18732782369146006
360670014002,543,34,199,197,113,0,396,147,0.7292817679558011
360670118005,1211,347,11,176,488,189,187,1024,0.15441783649876134
360670045004,369,212,0,26,53,78,26,343,0.07046070460704607
360670045001,484,93,50,57,142,142,107,377,0.22107438016528927
360670045003,580,134,58,29,116,243,87,493,0.15
360670110222,1043,302,16,287,341,97,303,740,0.29050814956855225
360670061031,1403,329,34,435,410,195,469,934,0.33428367783321455
360670102001,2079,264,184,514,923,194,698,1381,0.3357383357383357
360670139001,1023,99,40,512,340,32,552,471,0.5395894428152492
360670146001,1155,317,170,221,284,163,391,764,0.3385281385281385
360670146004,641,137,18,124,122,240,142,499,0.22152886115444617
360670146002,476,51,50,77,118,180,127,349,0.2668067226890756
360670146003,448,125,37,53,120,113,90,358,0.20089285714285715
360670155002,1111,225,0,212,382,292,212,899,0.19081908190819083
360670155001,1016,247,70,307,208,184,377,639,0.37106299212598426
360670158002,385,115,11,114,86,59,125,260,0.3246753246753247
360670158003,742,128,79,108,342,85,187,555,0.25202156334231807
360670158001,1546,286,67,396,473,324,463,1083,0.29948253557567917
360670160011,1145,238,81,246,364,216,327,818,0.28558951965065504
360670160012,681,149,43,170,225,94,213,468,0.31277533039647576
360670161001,1583,425,142,277,373,366,419,1164,0.26468730259001894
360670164002,921,229,49,138,292,213,187,734,0.20304017372421282
360670164003,1183,287,47,255,417,177,302,881,0.25528317836010145
360670165011,1198,259,49,306,436,148,355,843,0.29632721202003337
360670009002,709,194,0,185,110,220,185,524,0.2609308885754584
360670009003,906,166,92,191,234,223,283,623,0.31236203090507725
360670020001,533,14,156,157,183,23,313,220,0.5872420262664165
360670032001,1025,341,113,152,127,292,265,760,0.25853658536585367
360670044002,471,168,16,24,38,225,40,431,0.08492569002123142
360670044001,78,3,0,16,42,17,16,62,0.20512820512820512
360670004002,821,65,120,182,357,97,302,519,0.36784409257003653
360670004003,874,221,138,181,210,124,319,555,0.36498855835240274
360670007002,434,9,149,171,94,11,320,114,0.7373271889400922
360670010001,595,132,70,89,125,179,159,436,0.2672268907563025
360670010002,727,54,102,321,169,81,423,304,0.5818431911966988
360670154004,1151,135,22,231,396,367,253,898,0.21980886185925283
360679400001,134,18,28,0,88,0,28,106,0.208955223880597
360670163007,784,186,0,32,320,246,32,752,0.04081632653061224
360670158004,836,172,26,183,352,103,209,627,0.25
360670043021,155,32,37,30,29,27,67,88,0.432258064516129
360670021013,860,39,253,276,238,54,529,331,0.6151162790697674
360670021011,278,24,122,57,75,0,179,99,0.6438848920863309
360670137012,1400,186,92,535,538,49,627,773,0.44785714285714284
360670137013,709,117,135,226,154,77,361,348,0.5091678420310296
360670137011,572,96,81,206,163,26,287,285,0.5017482517482518
360670160022,982,215,67,213,322,165,280,702,0.285132382892057
360670130003,462,131,0,128,104,99,128,334,0.27705627705627706
360670130005,559,53,19,205,230,52,224,335,0.4007155635062612
360670130001,633,142,37,254,149,51,291,342,0.4597156398104265
360670157003,1171,346,24,275,394,132,299,872,0.2553373185311699
360670157002,1290,159,0,513,368,250,513,777,0.39767441860465114
360670157001,1134,370,50,97,325,292,147,987,0.12962962962962962
360670128002,709,129,71,294,179,36,365,344,0.5148095909732017
360670163002,701,269,0,114,145,173,114,587,0.16262482168330955
360670163005,855,300,16,134,215,190,150,705,0.17543859649122806
360670163006,990,194,179,334,172,111,513,477,0.5181818181818182
360670163001,594,130,15,74,128,247,89,505,0.14983164983164984
360670051001,450,57,137,125,124,7,262,188,0.5822222222222222
360670024001,696,73,311,96,155,61,407,289,0.5847701149425287
360670019005,563,140,42,68,181,132,110,453,0.19538188277087035
360670019002,477,48,138,157,95,39,295,182,0.6184486373165619
360670019003,872,347,71,188,192,74,259,613,0.29701834862385323
360670019001,514,42,86,158,194,34,244,270,0.47470817120622566
360670023001,393,63,170,68,69,23,238,155,0.6055979643765903
360670042001,474,16,185,155,118,0,340,134,0.7172995780590717
360670049002,391,101,1,93,102,94,94,297,0.24040920716112532
360670049001,443,102,27,154,149,11,181,262,0.40857787810383744
360670061011,1363,147,308,504,362,42,812,551,0.5957446808510638
360670061012,489,23,15,237,144,70,252,237,0.5153374233128835
360670005011,710,18,306,226,160,0,532,178,0.7492957746478873
360670029011,1178,350,61,280,360,127,341,837,0.2894736842105263
360670029012,1032,376,38,187,254,177,225,807,0.2180232558139535
360670156012,720,68,102,228,300,22,330,390,0.4583333333333333
360670123001,1456,428,35,200,431,362,235,1221,0.1614010989010989
360670124004,496,130,21,123,203,19,144,352,0.2903225806451613
360670111023,631,148,33,175,210,65,208,423,0.329635499207607
360670112412,1108,302,37,225,319,225,262,846,0.2364620938628159
360670027003,447,119,43,147,94,44,190,257,0.4250559284116331
360670027001,426,63,27,61,190,85,88,338,0.20657276995305165
360670036011,738,95,220,117,194,112,337,401,0.45663956639566394
360670110212,766,212,27,175,209,143,202,564,0.26370757180156656
360670054001,259,0,69,91,94,5,160,99,0.6177606177606177
360670060004,659,13,14,319,302,11,333,326,0.5053110773899848
360670060001,345,15,86,138,99,7,224,121,0.6492753623188405
360670060002,645,111,95,200,209,30,295,350,0.4573643410852713
360670106002,937,165,107,295,310,60,402,535,0.42902881536819637
360670111012,765,219,32,198,197,119,230,535,0.3006535947712418
360670111011,922,295,6,208,221,192,214,708,0.23210412147505424
360670111013,896,122,18,314,200,242,332,564,0.3705357142857143
360670111015,1124,257,40,215,275,337,255,869,0.22686832740213522
360670111022,1054,211,53,303,352,135,356,698,0.3377609108159393
360670112321,1854,551,45,240,479,539,285,1569,0.15372168284789645
360670112322,927,178,52,242,329,126,294,633,0.31715210355987056
360670115001,1370,379,15,264,363,349,279,1091,0.20364963503649636
360670115003,1106,332,59,111,279,325,170,936,0.15370705244122965
360670115002,1521,395,82,349,500,195,431,1090,0.28336620644312954
360670002002,955,51,287,364,164,89,651,304,0.6816753926701571
360670002001,1296,66,408,373,422,27,781,515,0.6026234567901234
360670046001,558,82,26,105,154,191,131,427,0.23476702508960573
360670046002,830,128,28,144,214,316,172,658,0.20722891566265061
360670046003,860,185,3,81,170,421,84,776,0.09767441860465116
360670046005,445,30,105,71,109,130,176,269,0.3955056179775281
360670103212,1078,175,18,208,457,220,226,852,0.20964749536178107
360670119004,546,181,38,155,94,78,193,353,0.3534798534798535
360670119002,617,67,22,216,246,66,238,379,0.3857374392220421
360670119003,581,89,64,137,243,48,201,380,0.3459552495697074
360670126002,1108,302,0,83,359,364,83,1025,0.07490974729241877
360670126003,886,205,64,274,207,136,338,548,0.38148984198645597
360670134002,1288,337,34,368,410,139,402,886,0.31211180124223603
360670134001,909,181,161,185,211,171,346,563,0.38063806380638066
360670156013,839,172,70,259,234,104,329,510,0.39213349225268174
360670103015,1141,301,30,357,299,154,387,754,0.33917616126205086
360670166003,1606,462,15,158,417,554,173,1433,0.10772104607721046
360670166001,860,198,13,119,299,231,132,728,0.15348837209302327
360670124002,714,171,4,155,192,192,159,555,0.22268907563025211
360670124003,756,184,24,142,263,143,166,590,0.21957671957671956
360670138001,952,193,73,376,239,71,449,503,0.47163865546218486
360670116003,1353,310,45,275,607,116,320,1033,0.23651145602365115
360670122001,788,148,43,245,262,90,288,500,0.36548223350253806
360670127002,1134,201,34,315,449,135,349,785,0.30776014109347444
360670135003,895,198,11,233,370,83,244,651,0.27262569832402234
360670135002,1700,320,110,402,627,241,512,1188,0.30117647058823527
360670150002,815,230,40,67,219,259,107,708,0.1312883435582822
360670150001,652,193,51,80,109,219,131,521,0.200920245398773
360670136001,676,141,71,133,276,55,204,472,0.30177514792899407
360670136002,408,98,18,80,141,71,98,310,0.24019607843137256
360670150003,839,201,38,103,228,269,141,698,0.16805721096543505
360670114023,967,133,151,438,166,79,589,378,0.609100310237849
360670114021,970,205,44,219,237,265,263,707,0.2711340206185567
360670114022,1230,161,74,409,471,115,483,747,0.3926829268292683
360670118002,962,0,13,453,418,78,466,496,0.48440748440748443
360670118004,868,118,96,386,268,0,482,386,0.5552995391705069
360670118003,868,159,65,176,352,116,241,627,0.27764976958525345
360670118001,837,44,29,316,346,102,345,492,0.4121863799283154
360670112022,1241,411,16,205,291,318,221,1020,0.1780821917808219
360670112021,1893,412,107,551,668,155,658,1235,0.3475964078182779
360670112311,808,123,69,250,292,74,319,489,0.3948019801980198
360670112313,1184,319,106,305,357,97,411,773,0.3471283783783784
360670113002,603,104,80,166,203,50,246,357,0.4079601990049751
360670114013,1056,355,15,59,396,231,74,982,0.07007575757575757
360670103012,460,49,12,177,175,47,189,271,0.4108695652173913
360670103014,715,107,43,194,253,118,237,478,0.33146853146853145
360670123002,997,306,17,195,331,148,212,785,0.21263791374122368
360670129001,1039,111,206,222,429,71,428,611,0.41193455245428295
360670129002,703,16,94,257,248,88,351,352,0.4992887624466572
360670140001,1133,94,208,460,341,30,668,465,0.589585172109444
360670140002,385,62,31,116,148,28,147,238,0.38181818181818183
360670140003,828,105,116,340,250,17,456,372,0.5507246376811594
360670016002,1026,249,185,285,180,127,470,556,0.4580896686159844
360670016001,1625,158,415,555,445,52,970,655,0.5969230769230769
360670035002,386,7,192,60,99,28,252,134,0.6528497409326425
360670059001,536,21,119,217,144,35,336,200,0.6268656716417911
360670059002,481,41,193,158,79,10,351,130,0.7297297297297297
360670101001,671,172,45,115,158,181,160,511,0.23845007451564829
360670110113,974,228,66,238,323,119,304,670,0.31211498973305957
360670110111,859,121,24,234,341,139,258,601,0.30034924330616997
360670038002,718,77,171,257,196,17,428,290,0.596100278551532
360670038001,504,20,99,291,94,0,390,114,0.7738095238095238
360670050001,754,153,12,168,266,155,180,574,0.23872679045092837
360670050002,919,231,32,126,219,311,158,761,0.1719260065288357
360670057001,565,101,103,131,168,62,234,331,0.41415929203539825
360670057002,658,73,88,188,267,42,276,382,0.4194528875379939
360670058002,236,0,48,105,76,7,153,83,0.6483050847457628
360670058003,426,10,68,166,164,18,234,192,0.5492957746478874
360670058001,445,10,104,192,129,10,296,149,0.6651685393258427
360670108003,724,159,32,280,176,77,312,412,0.430939226519337
360670108001,951,153,69,333,279,117,402,549,0.4227129337539432
360670108004,1468,245,166,487,424,146,653,815,0.44482288828337874
360670108002,542,168,14,146,200,14,160,382,0.2952029520295203
360670133001,516,116,40,108,192,60,148,368,0.2868217054263566
360670133003,690,157,12,158,185,178,170,520,0.2463768115942029
360670110122,812,303,0,125,254,130,125,687,0.1539408866995074
360670110121,916,186,81,307,265,77,388,528,0.42358078602620086
360670039002,440,55,66,134,185,0,200,240,0.45454545454545453
360670039003,903,29,224,367,266,17,591,312,0.654485049833887
360670109002,1089,99,175,387,362,66,562,527,0.5160697887970616
360670109001,778,89,28,240,357,64,268,510,0.3444730077120823
360670148002,1044,280,45,70,226,423,115,929,0.11015325670498084
360670148003,689,191,9,35,185,269,44,645,0.06386066763425254
360670168022,1129,214,55,309,381,170,364,765,0.3224092116917626
360670035001,597,131,0,68,122,276,68,529,0.11390284757118928
360670024002,454,86,86,87,158,37,173,281,0.381057268722467
360670114011,800,269,14,125,249,143,139,661,0.17375
360670114014,1684,555,34,236,462,397,270,1414,0.16033254156769597
360670117001,1151,255,21,287,476,112,308,843,0.2675933970460469
360670117002,1498,243,99,495,542,119,594,904,0.3965287049399199
360670121001,1038,193,76,222,281,266,298,740,0.28709055876685935
360670121002,974,191,65,208,361,149,273,701,0.2802874743326489
360670121003,1104,350,51,177,258,268,228,876,0.20652173913043478
360670018002,451,116,33,124,159,19,157,294,0.34811529933481156
360670048001,469,129,59,79,129,73,138,331,0.2942430703624733
360670053002,679,11,271,204,182,11,475,204,0.6995581737849779
360670053001,376,21,99,92,147,17,191,185,0.5079787234042553
360670055002,1015,90,116,265,356,188,381,634,0.3753694581280788
360670055003,730,189,28,99,182,232,127,603,0.17397260273972603
360670143002,495,16,78,268,73,60,346,149,0.6989898989898989
360670143001,904,116,117,335,320,16,452,452,0.5
360670147004,991,279,51,71,165,425,122,869,0.1231079717457114
360670147005,928,232,24,196,102,374,220,708,0.23706896551724138
360670149001,1679,270,237,380,442,350,617,1062,0.36748064324002383
360670152022,1483,415,49,185,257,577,234,1249,0.15778826702629806
360670003001,673,109,83,163,222,96,246,427,0.3655274888558692
360670006002,812,72,364,183,193,0,547,265,0.6736453201970444
360670006001,763,57,212,180,302,12,392,371,0.5137614678899083
360670017012,620,27,139,179,166,109,318,302,0.5129032258064516
360670017011,883,197,93,147,346,100,240,643,0.2718006795016987
360670018001,349,75,14,113,134,13,127,222,0.3638968481375358
360670061022,849,239,55,141,179,235,196,653,0.2308598351001178
360670061021,690,41,210,208,209,22,418,272,0.6057971014492753
360670151005,1292,272,35,324,384,277,359,933,0.27786377708978327
360670151003,790,116,19,115,260,280,134,656,0.16962025316455695
360670151004,585,246,12,110,51,166,122,463,0.20854700854700856
360670151001,961,208,10,21,284,438,31,930,0.03225806451612903
360670169022,541,126,31,125,227,32,156,385,0.28835489833641403
360670169021,949,196,48,291,302,112,339,610,0.35721812434141204
360670152032,1113,365,8,140,271,329,148,965,0.132973944294699
360670152031,733,263,0,45,242,183,45,688,0.061391541609822645
360670142003,1037,162,41,311,473,50,352,685,0.3394406943105111
360670142002,784,48,161,250,293,32,411,373,0.5242346938775511
360670145001,1604,282,149,503,488,182,652,952,0.40648379052369077
